code,name,brand,longitude,latitude
0000000140,松屋 阪急南方駅前店（マイカリー食堂併設）,松屋,135.499191,34.725849
0000000142,松屋 三宿店,松屋,139.677948,35.647572
0000000144,松屋 立川錦町店（マイカリー食堂併設）,松屋,139.415207,35.696228
0000000145,松屋 神戸元町西口店,松屋,135.187531,34.689381
0000000150,松屋 亀戸店,松屋,139.825150,35.697746
0000000151,松屋 高田馬場4丁目店,松屋,139.701859,35.713367
0000000152,松屋 浦安店,松屋,139.894302,35.665279
0000000153,松屋 赤羽店,松屋,139.723282,35.779228
0000000154,松屋 川崎銀座街店,松屋,139.700943,35.531155
0000000159,松屋 日吉店,松屋,139.645874,35.553093
0000000161,松屋 平塚店,松屋,139.349380,35.328964
0000000162,松屋 西川口店,松屋,139.705475,35.816055
0000000164,松屋 新宿南口店 ※2月23日15時より一時閉店、3月25日15時オープン,松屋,139.702133,35.690308
0000000165,松屋 三軒茶屋店,松屋,139.670883,35.642395
0000000166,松屋 針中野店,松屋,135.532623,34.617512
0000000167,松屋 横浜店,松屋,139.619171,35.463459
0000000169,松屋 浅草橋店,松屋,139.786255,35.696964
0000000170,松屋 神田西口店,松屋,139.767410,35.691399
0000000171,松屋 関大前店,松屋,135.507690,34.773586
0000000173,松屋 阿倍野店,松屋,135.512512,34.643829
0000000174,松屋 三条木屋町店,松屋,135.770342,35.008743
0000000176,松屋 富士見台店,松屋,139.629684,35.735485
0000000177,松屋 中野通り店,松屋,139.665100,35.709526
0000000185,松屋 津田沼店,松屋,140.022629,35.690495
0000000186,松屋 納屋橋店 （松のや併設）,松屋,136.890732,35.167915
0000000187,松屋 武蔵新城店,松屋,139.630402,35.587025
0000000188,松屋 近大前店,松屋,135.585175,34.651588
0000000189,松屋 本郷三丁目店,松屋,139.760620,35.706306
0000000190,松屋 熊谷バイパス店（松のや併設）,松屋,139.390564,36.165100
0000000193,松屋 都筑インター店,松屋,139.603210,35.549679
0000000194,松屋 広小路本町店,松屋,136.901840,35.168404
0000000195,松屋 野方店,松屋,139.652420,35.718910
0000000198,松屋 曙橋店,松屋,139.722687,35.692272
0000000199,松屋 JR高槻南口店,松屋,135.619415,34.850582
0000000200,松屋 亀島店（松のや併設）,松屋,136.872665,35.175720
0000000204,松屋 北小金店,松屋,139.935165,35.826126
0000000205,松屋 蕨店,松屋,139.691437,35.827904
0000000209,松屋 志木店,松屋,139.573700,35.822189
0000000210,松屋 金山店,松屋,136.902924,35.144264
0000000212,松屋 大泉学園店,松屋,139.586090,35.750244
0000000213,松屋 中村橋店,松屋,139.637924,35.737461
0000000214,松屋 元住吉店,松屋,139.650665,35.565853
0000000216,松屋 西新宿店,松屋,139.685806,35.690521
0000000217,松屋 秋葉原店,松屋,139.775208,35.699150
0000000218,松屋 向ヶ丘遊園店,松屋,139.563980,35.616287
0000000219,松屋 錦糸町南店,松屋,139.814880,35.695282
0000000220,松屋 神立店 （松のや併設）,松屋,137.755035,34.717949
0000000223,松屋 下高井戸店,松屋,139.639282,35.665718
0000000224,松屋 上野店,松屋,139.773804,35.710049
0000000226,松屋 千歳烏山店（マイカリー食堂併設）,松屋,139.601074,35.668667
0000000227,松屋 本八幡南口店,松屋,139.926254,35.719711
0000000228,松屋 大久保店,松屋,139.696030,35.701725
0000000229,松屋 中野坂上店,松屋,139.682388,35.697189
0000000230,松屋 あびこ店（松のや併設）,松屋,135.513046,34.599831
0000000231,松屋 京成大久保店 (松のや併設),松屋,140.048325,35.686855
0000000233,松屋 大岡山店,松屋,139.685577,35.609180
0000000234,松屋 狭山店,松屋,139.430435,35.884869
0000000235,松屋 深大寺店,松屋,139.554169,35.681171
0000000237,松屋 川崎枡形店,松屋,139.552826,35.620754
0000000240,松屋 新栄店,松屋,136.920181,35.169910
0000000242,松屋 吉祥寺サンロード店,松屋,139.580139,35.704262
0000000243,松屋 祐天寺店,松屋,139.691742,35.637585
0000000244,松屋 東五反田店,松屋,139.726868,35.625542
0000000245,松屋 蒲田東口店,松屋,139.719849,35.562302
0000000246,松屋 山科店,松屋,135.817642,34.991745
0000000247,松屋 今池店（松のや併設）,松屋,136.936813,35.167099
0000000248,松屋 代々木八幡店,松屋,139.689056,35.669014
0000000250,松屋 中野南口店,松屋,139.665604,35.703743
0000000251,松屋 町屋店,松屋,139.781052,35.743443
0000000252,松屋 王子店,松屋,139.737030,35.755371
0000000254,松屋 横浜西口店,松屋,139.622284,35.467625
0000000255,松屋 東武練馬店,松屋,139.661026,35.768982
0000000256,松屋 戸越銀座店,松屋,139.715302,35.615536
0000000257,松屋 行徳店,松屋,139.913864,35.682850
0000000259,松屋 伊丹店,松屋,135.419922,34.769520
0000000260,松屋 南海難波店,松屋,135.500046,34.665062
0000000261,松屋 鹿島田店,松屋,139.676163,35.551746
0000000264,松屋 赤坂店,松屋,139.735382,35.671631
0000000265,松屋 武蔵小山店,松屋,139.703918,35.619572
0000000267,松屋 岐阜茜部店,松屋,136.752640,35.388981
0000000268,松屋 春日井店（松のや併設）,松屋,136.970428,35.247162
0000000269,松屋 自由ヶ丘店,松屋,139.669846,35.608208
0000000270,松屋 早稲田店,松屋,139.719543,35.706539
0000000271,松屋 秦野店,松屋,139.226578,35.370846
0000000272,松屋 神田小川町店,松屋,139.764984,35.694206
